sentences,words,OOV,logprob,ppl,ppl1
38,259,0,-686.407,204.709,446.912
44,300,3,-879.426,379.282,914.179
31,198,4,-585.869,401.662,1046.99
42,283,15,-900.786,804.935,2296.9
36,256,1,-697.594,249.593,544.082
26,251,0,-750.473,512.023,977.086
46,294,0,-807.305,236.824,557.102
35,347,12,-950.49,370.588,687.517
39,257,1,-781.185,444.719,1125.91
40,357,6,-1090.52,615.239,1279.04
36,237,2,-669.26,294.845,704.554
38,257,1,-650.892,163.651,348.778
42,261,11,-722.567,298.224,776.723
28,209,5,-597.975,377.988,853.59
19,195,1,-546.986,369.835,659.955
31,230,1,-670.18,378.108,844.406
41,323,4,-1002.77,610.184,1391.45
32,297,2,-789.811,260.211,475.692
29,210,0,-622.705,403.145,923.131
26,183,3,-478.84,211.089,457.321
33,227,5,-625.187,282.953,654.875
47,388,2,-1196.95,581.183,1261.54
46,343,4,-977.064,345.007,762.42
26,188,9,-586.554,726.503,1891.63
37,357,23,-1096.11,900.492,1913.25
41,366,3,-1144.4,680.254,1421.07
40,270,6,-819.584,496.591,1271.99
29,204,4,-651.782,701.795,1815.14
22,233,1,-649.37,360.225,629.517
28,218,8,-579.952,273.383,577.664
14,131,13,-380.071,757.405,1663.2
67,346,14,-986.367,296.55,935.374
59,414,6,-1033.19,163.077,340.661
48,181,5,-587.934,421.412,2190.46
93,679,9,-1969.54,381.333,870.171
84,466,6,-1362.32,319.354,915.322
82,564,9,-1686.93,444.871,1095.23
70,539,0,-1272.09,122.69,229.131
56,399,12,-1116.24,330.924,766.197
107,704,20,-2000.04,337.673,839.529
79,353,23,-1014.1,301.622,1183.13
100,669,30,-1859.8,328.579,813.73
54,524,0,-1364.23,229.228,401.33
72,523,1,-1330.47,173.716,353.822
40,498,2,-1251.84,216.532,334.096
52,475,15,-1359.08,451.289,900.584
22,297,26,-712.88,271.042,427.122
71,533,0,-1368.76,184.566,369.846
88,503,11,-1370.25,230.406,609.613
105,578,32,-1983.58,1114.24,4294.74
154,736,30,-2208.51,369.862,1343.4
59,392,4,-1048.51,221.642,503.89
78,433,0,-1215.79,239.466,642.448
42,326,6,-900.541,307.385,651.915
22,128,6,-404.62,645.446,2072.79
61,412,18,-1176.54,385.301,968.591
87,477,12,-1464.55,449.958,1411.15
40,321,22,-832.932,286.434,610.554
69,535,30,-1428.87,308.547,675.222
95,481,22,-1319.31,240.668,748.695
48,471,3,-1237.06,249.694,439.842
88,439,14,-1305.5,350.622,1179.7
79,468,7,-1406.9,403.053,1126.77
94,595,37,-1641.64,329.502,875.01
60,369,1,-892.915,121.969,266.932
54,524,0,-1364.23,229.228,401.33
113,639,1,-1643.65,154.387,376.919
50,257,1,-710.254,209.456,594.883
78,465,2,-1410.77,405.229,1114.32
19,272,19,-739.641,523.922,838.456
39,213,0,-595.559,230.849,625.245
21,118,0,-326.328,222.681,582.761
55,463,9,-1287.1,337.822,683.954
80,291,25,-1013.91,851.849,6481.49
42,308,3,-808.056,213.154,446.031
49,379,7,-1000.5,237.948,489.231
7,737,57,-1894.88,573.061,611.779
58,493,27,-1451.07,587.787,1299.83
45,251,23,-726.748,459.282,1539.89
124,653,13,-1684.68,160.354,428.859
56,421,2,-1106.17,213.194,436.535
61,555,1,-1599.52,398.88,771.288
57,373,8,-1059.39,323.893,798.799
59,452,0,-1200.02,223.039,451.769
58,371,6,-972.655,199.26,462.177
40,377,0,-918.18,159.173,272.578
61,468,18,-1179.44,203.279,417.799
86,697,8,-1741.85,176.825,337.349
88,524,60,-1469.94,460.193,1472.25
140,560,13,-1766.66,372.867,1697.16
67,574,6,-1521.36,248.798,476.932
45,305,0,-696.467,97.7022,192.087
64,632,0,-1586.91,190.568,324.296
15,104,5,-295.52,391.097,966.174
44,459,1,-1134.69,182.109,300.248
30,136,5,-381.957,235.722,823.566
72,379,15,-1167.59,476.379,1613.09
106,633,2,-1674.82,187.277,451.059
