sentences,words,OOV,logprob,ppl,ppl1
31,335,6,-858.672,242.772,407.328
25,187,0,-427.309,103.659,192.786
34,281,12,-641.406,130.873,242.331
18,183,3,-464.763,222.477,381.957
33,287,16,-663.196,151.903,280.038
34,284,3,-650.969,116.565,207.308
28,220,0,-592.093,244.046,491.283
59,418,15,-964.506,122.37,247.352
71,241,2,-573.689,70.8938,251.403
47,308,3,-742.986,129.049,272.91
86,330,30,-843.135,152.858,646.323
26,195,4,-463.717,137.07,267.815
24,216,10,-569.922,300.552,584.265
58,284,1,-764.439,174.484,502.572
79,328,0,-843.663,118.272,373.373
39,408,4,-898.313,106.609,167.32
51,367,4,-894.481,144.738,291.163
59,204,2,-470.362,63.4094,213.072
31,240,6,-551.77,120.823,228.029
21,165,3,-423.173,205.315,409.43
46,419,30,-986.817,185.586,344.196
44,388,10,-1027.28,271.832,521.986
88,794,45,-2083.13,308.182,604.25
67,529,12,-1264.42,146.251,279.05
36,663,21,-1682.95,303.551,418.237
45,344,11,-882.151,215.642,445.762
27,447,42,-1119.21,389.736,580.082
23,479,19,-1270.05,426.095,576.743
83,702,18,-1751.84,192.314,364.053
82,521,93,-1193.76,219.129,615.393
80,603,31,-1641.88,329.773,742.017
53,327,20,-817.849,186.983,461.32
47,335,38,-868.285,334.26,838.529
69,550,5,-1406.09,195.007,380.174
46,436,32,-1135.07,332.944,645.019
61,436,26,-1189.97,336.1,798.652
10,315,17,-757.696,288.439,348.823
51,570,36,-1655.18,675.11,1257.75
67,454,15,-1289.79,353.989,866.993
57,448,26,-1254.93,416.778,941.408
57,334,10,-917.572,256.051,679.225
73,669,21,-1947.86,503.05,1013.82
35,230,8,-608.54,233.271,551.025
39,341,12,-916.366,309.119,609.969
34,281,9,-675.282,160.991,303.846
27,237,2,-627.325,247.953,467.162
26,251,5,-577.941,133.285,223.539
42,235,2,-619.355,178.732,455.174
32,267,0,-755.299,335.801,674.269
25,241,9,-617.181,252.047,457.364
24,211,3,-502.171,146.06,259.588
26,191,1,-438.474,107.145,203.122
24,223,1,-514.853,123.851,208.525
38,306,3,-763.551,173.441,331.108
28,241,2,-655.884,286.083,554.987
30,232,8,-602.354,235.22,488.744
45,234,0,-619.404,165.992,443.635
49,297,7,-691.199,109.38,241.794
26,202,1,-530.053,216.29,433.592
29,201,1,-452.22,94.3537,182.431
25,188,2,-451.744,138.346,268.368
1,26,1,-57.3612,160.768,196.991
36,247,0,-496.081,56.6159,101.959
49,210,0,-497.608,83.4192,234.186
43,226,13,-642.254,322.706,1035.81
32,255,8,-583.253,123.172,229.8
24,249,4,-711.88,442.991,804.7
24,187,0,-442.802,125.484,233.305
30,193,0,-476.716,137.322,295.143
22,213,6,-541.599,231.772,413.448
31,254,6,-728.371,407.989,864.927
28,197,0,-506.058,177.478,370.528
30,297,8,-782.613,284.009,510.509
22,186,0,-438.907,128.864,228.938
27,227,0,-547.688,143.302,258.656
26,248,2,-666.541,282.175,512.29
41,255,3,-636.451,148.657,335.427
43,268,2,-704.071,189.91,443.49
24,245,2,-567.715,133.744,216.908
51,470,22,-1272.42,354.759,692.175
51,337,3,-848.168,159.6,346.277
47,347,6,-914.778,227.864,481.542
49,402,10,-1176.58,465.573,1003.43
48,333,5,-888.431,230.594,511.246
47,346,9,-950.072,297.951,659.483
56,336,13,-841.469,166.049,402.873
43,286,4,-704.443,147.068,314.794
48,308,8,-947.822,529.208,1443.47
34,203,0,-540.271,190.381,458.599
42,271,8,-728.27,244.214,587.608
81,598,12,-1605.16,254.995,548.498
40,328,2,-831.797,187.357,356.061
47,361,9,-1032.88,387.852,859.629
32,297,4,-782.056,254.875,466.803
47,304,3,-816.514,221.975,516.025
34,180,2,-406.133,82.3608,191.269
28,183,0,-453.636,141.232,301.222
22,167,0,-425.832,179.094,354.727
40,175,0,-352.809,43.7492,103.765
16,102,0,-285.011,260.222,622.617
50,492,0,-872.288,40.6805,59.2847
19,128,0,-311.69,131.93,272.321
56,281,21,-714.237,182.073,558.557
16,118,0,-313.475,218.459,453.494
15,98,12,-266.672,436.831,1261.34
30,182,18,-329.52,49.9523,102.157
49,378,3,-883.34,121.157,226.763
38,294,0,-647.052,88.91,158.802
50,492,0,-872.288,40.6805,59.2847
28,232,0,-520.388,100.345,175.006
59,452,0,-917.549,62.4589,107.146
26,296,9,-663.237,131.513,204.612
31,269,4,-674.614,190.152,351.328
50,364,1,-811.234,92.0971,171.713
41,259,2,-604.783,107.022,225.549
44,334,2,-955.97,348.717,757.578
30,161,20,-504.593,892.974,3790.33
31,243,1,-701.17,370.16,789.583
42,279,1,-666.078,120.641,248.865
47,266,16,-685.257,202.892,550.845
23,270,2,-720.089,298.218,486.296
44,265,0,-562.027,65.8956,132.085
25,132,3,-362.031,224.312,640.388
30,174,0,-403.499,95.0465,208.43
43,227,2,-521.043,87.9409,206.894
42,181,0,-441.235,95.1991,274.008
36,274,0,-676.775,152.457,295.109
38,289,1,-673.443,116.352,217.943
36,262,1,-701.52,230.155,487.323
42,258,7,-603.256,114.523,253.169
50,319,5,-731.099,101.979,212.98
46,267,4,-708.352,196.065,493.573
