sentences,words,OOV,logprob,ppl,ppl1
31,335,6,-986.522,549.969,996.659
25,187,0,-552.658,404.463,902.384
34,281,12,-771.093,350.64,735.388
18,183,3,-525.519,450.958,830.902
33,287,16,-813.622,474.666,1005.3
34,284,3,-780.689,300.868,600.138
28,220,0,-690.967,611.162,1382.8
59,418,15,-1207.13,410.053,989.385
71,241,2,-774.347,314.698,1737.59
47,308,3,-915.612,399.182,1004.63
86,330,30,-1049.01,521.981,3138.45
26,195,4,-576.982,455.933,1049.17
24,216,10,-632.04,559.758,1169.92
58,284,1,-906.393,455.034,1595.15
79,328,0,-1051.73,383.801,1608.78
39,408,4,-1136.41,367.503,649.976
51,367,4,-1073.95,392.72,908.953
59,204,2,-611.21,219.685,1061.18
31,240,6,-663.551,319.129,684.997
21,165,3,-514.948,651.518,1509.02
46,419,30,-1148.6,436.968,896.784
44,388,10,-1207.74,727.701,1567.08
88,794,45,-2363.59,666.622,1431.06
67,529,12,-1510.21,385.462,833.891
36,663,21,-1942.22,732.2,1059.9
45,344,11,-1059.4,634.813,1518.38
27,447,42,-1258.04,816.815,1277.22
23,479,19,-1401.37,796.863,1112.89
83,702,18,-2090.34,531.304,1137.76
82,521,93,-1347.24,438.179,1405.28
80,603,31,-1867.13,730.625,1837.43
53,327,20,-991.31,567.073,1694.43
47,335,38,-971.652,667.683,1868.77
69,550,5,-1671.23,527.076,1165.41
46,436,32,-1302.39,783.796,1673.94
61,436,26,-1360.05,771.917,2075.8
10,315,17,-848.509,568.722,703.633
51,570,36,-1790.32,1149.13,2252.44
67,454,15,-1522.8,1022.1,2943.06
57,448,26,-1442.59,1027.24,2620.98
57,334,10,-1095.08,748.554,2398.13
73,669,21,-2173.52,1034.16,2260.46
35,230,8,-702.281,540.271,1456.9
39,341,12,-1040.26,671.104,1451.71
34,281,9,-832.965,527.36,1154.44
27,237,2,-758.131,782.762,1683.02
26,251,5,-688.998,341.257,632.129
42,235,2,-736.953,478.442,1455.09
32,267,0,-882.241,892.564,2014.99
25,241,9,-710.541,581.771,1155.25
24,211,3,-588.504,344.075,675.063
26,191,1,-569.265,432.003,991.134
24,223,1,-630.955,367.164,695.251
38,306,3,-953.574,625.756,1403.17
28,241,2,-755.554,675.758,1449.82
30,232,8,-678.718,470.02,1071.49
45,234,0,-758.196,521.852,1738.41
49,297,7,-881.5,398.377,1095.61
26,202,1,-634.718,625.34,1438.15
29,201,1,-600.192,417.758,1002.21
25,188,2,-601.932,712.459,1722.64
1,26,1,-72.2486,600.885,776.145
36,247,0,-699.636,296.627,680.037
49,210,0,-655.766,340.341,1326.46
43,226,13,-757.292,908.178,3592.2
32,255,8,-723.34,391.395,848.205
24,249,4,-807.257,1002.2,1972.09
24,187,0,-532.265,333.107,702.001
30,193,0,-607.262,528.625,1400.99
22,213,6,-605.349,439.992,840.216
31,254,6,-803.716,759.808,1740.97
28,197,0,-614.624,539.092,1318.01
30,297,8,-908.66,705.446,1393.65
22,186,0,-542.02,403.519,820.512
27,227,0,-673.777,449.434,929.354
26,248,2,-785.245,770.777,1556.15
41,255,3,-797.608,527.485,1462.54
43,268,2,-845.514,544.869,1508.78
24,245,2,-704.066,433.462,789.57
51,470,22,-1513.01,1076.66,2383.69
51,337,3,-1049.34,531.582,1385.96
47,347,6,-1107.93,716.936,1774.4
49,402,10,-1344.75,1120.24,2694.47
48,333,5,-1080.42,747.214,1967.66
47,346,9,-1105.69,757.529,1909.75
56,336,13,-1015.91,479.188,1397.13
43,286,4,-871.794,481.329,1234.43
48,308,8,-1072.18,1204.96,3749.09
34,203,0,-642.544,514.227,1462.99
42,271,8,-850.488,614.446,1713.14
81,598,12,-1911.38,733.904,1827.02
40,328,2,-1019.52,610.338,1340.78
47,361,9,-1158.51,800.807,1955.31
32,297,4,-943.179,798.161,1655.93
47,304,3,-970.642,615.464,1677.74
