file lyrics-kanye-west/song_0.txt: 16 sentences, 140 words, 0 OOVs
0 zeroprobs, logprob= -321.439 ppl= 114.949 ppl1= 197.692
file lyrics-kanye-west/song_1.txt: 79 sentences, 535 words, 0 OOVs
0 zeroprobs, logprob= -1055.87 ppl= 52.4385 ppl1= 94.098
file lyrics-kanye-west/song_2.txt: 1 sentences, 656 words, 0 OOVs
0 zeroprobs, logprob= -1129.49 ppl= 52.3795 ppl1= 52.6965
file lyrics-kanye-west/song_3.txt: 63 sentences, 512 words, 0 OOVs
0 zeroprobs, logprob= -638.01 ppl= 12.8701 ppl1= 17.6244
file lyrics-kanye-west/song_4.txt: 31 sentences, 185 words, 0 OOVs
0 zeroprobs, logprob= -271.266 ppl= 18.0244 ppl1= 29.2619
file lyrics-kanye-west/song_5.txt: 79 sentences, 548 words, 0 OOVs
0 zeroprobs, logprob= -798.51 ppl= 18.7733 ppl1= 28.6507
file lyrics-kanye-west/song_6.txt: 115 sentences, 1017 words, 0 OOVs
0 zeroprobs, logprob= -2067.78 ppl= 67.0908 ppl1= 107.949
file lyrics-kanye-west/song_7.txt: 64 sentences, 430 words, 0 OOVs
0 zeroprobs, logprob= -637.594 ppl= 19.5288 ppl1= 30.3932
file lyrics-kanye-west/song_8.txt: 112 sentences, 880 words, 0 OOVs
0 zeroprobs, logprob= -1115.99 ppl= 13.3349 ppl1= 18.5426
file lyrics-kanye-west/song_9.txt: 55 sentences, 425 words, 0 OOVs
0 zeroprobs, logprob= -823.943 ppl= 52.0654 ppl1= 86.8341
file lyrics-kanye-west/song_10.txt: 168 sentences, 1046 words, 0 OOVs
0 zeroprobs, logprob= -2076.63 ppl= 51.3533 ppl1= 96.6732
file lyrics-kanye-west/song_11.txt: 59 sentences, 346 words, 0 OOVs
0 zeroprobs, logprob= -500.605 ppl= 17.2211 ppl1= 27.9791
file lyrics-kanye-west/song_12.txt: 45 sentences, 312 words, 0 OOVs
0 zeroprobs, logprob= -675.47 ppl= 77.9961 ppl1= 146.207
file lyrics-kanye-west/song_13.txt: 49 sentences, 292 words, 0 OOVs
0 zeroprobs, logprob= -561.591 ppl= 44.35 ppl1= 83.8022
file lyrics-kanye-west/song_14.txt: 66 sentences, 591 words, 0 OOVs
0 zeroprobs, logprob= -940.1 ppl= 26.9711 ppl1= 38.9668
file lyrics-kanye-west/song_15.txt: 62 sentences, 490 words, 0 OOVs
0 zeroprobs, logprob= -1050.51 ppl= 80.0029 ppl1= 139.286
file lyrics-kanye-west/song_16.txt: 47 sentences, 337 words, 0 OOVs
0 zeroprobs, logprob= -624.261 ppl= 42.2357 ppl1= 71.1879
file lyrics-kanye-west/song_17.txt: 49 sentences, 366 words, 0 OOVs
0 zeroprobs, logprob= -498.849 ppl= 15.9238 ppl1= 23.0662
file lyrics-kanye-west/song_18.txt: 80 sentences, 552 words, 0 OOVs
0 zeroprobs, logprob= -651.594 ppl= 10.74 ppl1= 15.1504
file lyrics-kanye-west/song_19.txt: 121 sentences, 698 words, 0 OOVs
0 zeroprobs, logprob= -1385.71 ppl= 49.1985 ppl1= 96.662
file lyrics-kanye-west/song_20.txt: 90 sentences, 735 words, 0 OOVs
0 zeroprobs, logprob= -1488.32 ppl= 63.6839 ppl1= 105.909
file lyrics-kanye-west/song_21.txt: 92 sentences, 993 words, 0 OOVs
0 zeroprobs, logprob= -1871.05 ppl= 53.024 ppl1= 76.6024
file lyrics-kanye-west/song_22.txt: 80 sentences, 641 words, 0 OOVs
0 zeroprobs, logprob= -808.934 ppl= 13.2422 ppl1= 18.2805
file lyrics-kanye-west/song_23.txt: 1 sentences, 564 words, 0 OOVs
0 zeroprobs, logprob= -1224.96 ppl= 147.256 ppl1= 148.565
file lyrics-kanye-west/song_24.txt: 66 sentences, 496 words, 0 OOVs
0 zeroprobs, logprob= -1076.73 ppl= 82.3935 ppl1= 148.194
file lyrics-kanye-west/song_25.txt: 81 sentences, 658 words, 0 OOVs
0 zeroprobs, logprob= -618.632 ppl= 6.87259 ppl1= 8.71305
file lyrics-kanye-west/song_26.txt: 65 sentences, 408 words, 0 OOVs
0 zeroprobs, logprob= -610.797 ppl= 19.5581 ppl1= 31.4089
file lyrics-kanye-west/song_27.txt: 19 sentences, 110 words, 0 OOVs
0 zeroprobs, logprob= -231.564 ppl= 62.3838 ppl1= 127.388
file lyrics-kanye-west/song_28.txt: 70 sentences, 556 words, 0 OOVs
0 zeroprobs, logprob= -1236.82 ppl= 94.5687 ppl1= 167.684
file lyrics-kanye-west/song_29.txt: 87 sentences, 715 words, 0 OOVs
0 zeroprobs, logprob= -948.124 ppl= 15.2125 ppl1= 21.1859
file lyrics-kanye-west/song_30.txt: 95 sentences, 843 words, 0 OOVs
0 zeroprobs, logprob= -935.887 ppl= 9.94826 ppl1= 12.888
file lyrics-kanye-west/song_31.txt: 100 sentences, 800 words, 0 OOVs
0 zeroprobs, logprob= -1366.24 ppl= 32.9647 ppl1= 51.0275
file lyrics-kanye-west/song_32.txt: 118 sentences, 993 words, 0 OOVs
0 zeroprobs, logprob= -2177.65 ppl= 91.2172 ppl1= 155.954
file lyrics-kanye-west/song_33.txt: 57 sentences, 442 words, 0 OOVs
0 zeroprobs, logprob= -928.678 ppl= 72.6236 ppl1= 126.206
file lyrics-kanye-west/song_34.txt: 80 sentences, 641 words, 0 OOVs
0 zeroprobs, logprob= -808.934 ppl= 13.2422 ppl1= 18.2805
file lyrics-kanye-west/song_35.txt: 80 sentences, 606 words, 0 OOVs
0 zeroprobs, logprob= -1062.34 ppl= 35.3666 ppl1= 56.6276
file lyrics-kanye-west/song_36.txt: 1 sentences, 228 words, 0 OOVs
0 zeroprobs, logprob= -478.609 ppl= 123.026 ppl1= 125.65
file lyrics-kanye-west/song_37.txt: 126 sentences, 1023 words, 0 OOVs
0 zeroprobs, logprob= -2351.11 ppl= 111.23 ppl1= 198.723
file lyrics-kanye-west/song_38.txt: 50 sentences, 406 words, 0 OOVs
0 zeroprobs, logprob= -735.44 ppl= 41.0022 ppl1= 64.7782
file lyrics-kanye-west/song_39.txt: 59 sentences, 502 words, 0 OOVs
0 zeroprobs, logprob= -609.792 ppl= 12.2172 ppl1= 16.3955
file lyrics-kanye-west/song_40.txt: 128 sentences, 1058 words, 0 OOVs
0 zeroprobs, logprob= -1678.17 ppl= 26.0005 ppl1= 38.563
file lyrics-kanye-west/song_41.txt: 67 sentences, 533 words, 0 OOVs
0 zeroprobs, logprob= -1224.79 ppl= 109.982 ppl1= 198.575
file lyrics-kanye-west/song_42.txt: 49 sentences, 424 words, 0 OOVs
0 zeroprobs, logprob= -456.113 ppl= 9.2108 ppl1= 11.9052
file lyrics-kanye-west/song_43.txt: 93 sentences, 728 words, 0 OOVs
0 zeroprobs, logprob= -1299.69 ppl= 38.2874 ppl1= 60.994
file lyrics-kanye-west/song_44.txt: 66 sentences, 522 words, 0 OOVs
0 zeroprobs, logprob= -815.277 ppl= 24.3515 ppl1= 36.4614
file lyrics-kanye-west/song_45.txt: 57 sentences, 372 words, 0 OOVs
0 zeroprobs, logprob= -637.264 ppl= 30.5818 ppl1= 51.6505
file lyrics-kanye-west/song_46.txt: 93 sentences, 547 words, 0 OOVs
0 zeroprobs, logprob= -929.406 ppl= 28.3267 ppl1= 50.0146
file lyrics-kanye-west/song_47.txt: 81 sentences, 658 words, 0 OOVs
0 zeroprobs, logprob= -618.632 ppl= 6.87259 ppl1= 8.71305
file lyrics-kanye-west/song_48.txt: 102 sentences, 816 words, 0 OOVs
0 zeroprobs, logprob= -1609.34 ppl= 56.6359 ppl1= 93.8056
file lyrics-kanye-west/song_49.txt: 49 sentences, 277 words, 0 OOVs
0 zeroprobs, logprob= -605.486 ppl= 71.9979 ppl1= 153.416
file lyrics-kanye-west/song_50.txt: 69 sentences, 537 words, 0 OOVs
0 zeroprobs, logprob= -670.193 ppl= 12.7623 ppl1= 17.7024
file lyrics-kanye-west/song_51.txt: 55 sentences, 409 words, 0 OOVs
0 zeroprobs, logprob= -747.998 ppl= 40.9323 ppl1= 67.4291
file lyrics-kanye-west/song_52.txt: 117 sentences, 767 words, 0 OOVs
0 zeroprobs, logprob= -1848.91 ppl= 123.459 ppl1= 257.376
file lyrics-kanye-west/song_53.txt: 18 sentences, 53 words, 0 OOVs
0 zeroprobs, logprob= -128.254 ppl= 64.031 ppl1= 262.955
file lyrics-kanye-west/song_54.txt: 69 sentences, 553 words, 0 OOVs
0 zeroprobs, logprob= -1184.85 ppl= 80.3362 ppl1= 138.865
file lyrics-kanye-west/song_55.txt: 75 sentences, 594 words, 0 OOVs
0 zeroprobs, logprob= -1026.59 ppl= 34.2381 ppl1= 53.4886
file lyrics-kanye-west/song_56.txt: 74 sentences, 503 words, 0 OOVs
0 zeroprobs, logprob= -777.893 ppl= 22.293 ppl1= 35.1971
file lyrics-kanye-west/song_57.txt: 20 sentences, 215 words, 0 OOVs
0 zeroprobs, logprob= -352.54 ppl= 31.6353 ppl1= 43.6237
file lyrics-kanye-west/song_58.txt: 85 sentences, 802 words, 0 OOVs
0 zeroprobs, logprob= -1255.81 ppl= 26.0494 ppl1= 36.8002
file lyrics-kanye-west/song_59.txt: 86 sentences, 682 words, 0 OOVs
0 zeroprobs, logprob= -695.33 ppl= 8.04225 ppl1= 10.4603
file lyrics-kanye-west/song_60.txt: 48 sentences, 184 words, 0 OOVs
0 zeroprobs, logprob= -391.25 ppl= 48.5759 ppl1= 133.769
file lyrics-kanye-west/song_61.txt: 80 sentences, 552 words, 0 OOVs
0 zeroprobs, logprob= -651.594 ppl= 10.74 ppl1= 15.1504
file lyrics-kanye-west/song_62.txt: 57 sentences, 540 words, 0 OOVs
0 zeroprobs, logprob= -897.105 ppl= 31.8192 ppl1= 45.8465
file lyrics-kanye-west/song_63.txt: 18 sentences, 153 words, 0 OOVs
0 zeroprobs, logprob= -199.168 ppl= 14.6125 ppl1= 20.0333
file lyrics-kanye-west/song_64.txt: 76 sentences, 489 words, 0 OOVs
0 zeroprobs, logprob= -1136.79 ppl= 102.805 ppl1= 211.212
file lyrics-kanye-west/song_65.txt: 109 sentences, 800 words, 0 OOVs
0 zeroprobs, logprob= -1628.65 ppl= 61.9004 ppl1= 108.595
file lyrics-kanye-west/song_66.txt: 70 sentences, 531 words, 0 OOVs
0 zeroprobs, logprob= -888.449 ppl= 30.0805 ppl1= 47.1153
file lyrics-kanye-west/song_67.txt: 81 sentences, 691 words, 0 OOVs
0 zeroprobs, logprob= -750.502 ppl= 9.37892 ppl1= 12.193
file lyrics-kanye-west/song_68.txt: 25 sentences, 269 words, 0 OOVs
0 zeroprobs, logprob= -588.377 ppl= 100.295 ppl1= 153.913
file lyrics-kanye-west/song_69.txt: 21 sentences, 184 words, 0 OOVs
0 zeroprobs, logprob= -213.028 ppl= 10.9436 ppl1= 14.38
file lyrics-kanye-west/song_70.txt: 63 sentences, 430 words, 0 OOVs
0 zeroprobs, logprob= -979.741 ppl= 97.1189 ppl1= 189.875
file lyrics-kanye-west/song_71.txt: 147 sentences, 901 words, 0 OOVs
0 zeroprobs, logprob= -1038.19 ppl= 9.7867 ppl1= 14.1991
file lyrics-kanye-west/song_72.txt: 125 sentences, 990 words, 0 OOVs
