0 zeroprobs, logprob= -1283.04 ppl= 137.53 ppl1= 255.388
file lyrics-kanye-west/song_42.txt: 49 sentences, 424 words, 0 OOVs
0 zeroprobs, logprob= -865.626 ppl= 67.6202 ppl1= 110.045
file lyrics-kanye-west/song_43.txt: 93 sentences, 728 words, 0 OOVs
0 zeroprobs, logprob= -1767.67 ppl= 142.254 ppl1= 267.987
file lyrics-kanye-west/song_44.txt: 66 sentences, 522 words, 0 OOVs
0 zeroprobs, logprob= -1186.03 ppl= 104.005 ppl1= 187.104
file lyrics-kanye-west/song_45.txt: 57 sentences, 372 words, 0 OOVs
0 zeroprobs, logprob= -844.928 ppl= 93.2242 ppl1= 186.772
file lyrics-kanye-west/song_46.txt: 93 sentences, 547 words, 0 OOVs
0 zeroprobs, logprob= -1333.28 ppl= 121.128 ppl1= 273.8
file lyrics-kanye-west/song_47.txt: 81 sentences, 658 words, 0 OOVs
0 zeroprobs, logprob= -1350.43 ppl= 67.2016 ppl1= 112.806
file lyrics-kanye-west/song_48.txt: 102 sentences, 816 words, 0 OOVs
0 zeroprobs, logprob= -1884.11 ppl= 112.826 ppl1= 203.686
file lyrics-kanye-west/song_49.txt: 49 sentences, 277 words, 0 OOVs
0 zeroprobs, logprob= -719.105 ppl= 160.636 ppl1= 394.5
file lyrics-kanye-west/song_50.txt: 69 sentences, 537 words, 0 OOVs
0 zeroprobs, logprob= -1212.92 ppl= 100.349 ppl1= 181.423
file lyrics-kanye-west/song_51.txt: 55 sentences, 409 words, 0 OOVs
0 zeroprobs, logprob= -998.138 ppl= 141.631 ppl1= 275.698
file lyrics-kanye-west/song_52.txt: 117 sentences, 767 words, 0 OOVs
0 zeroprobs, logprob= -2013.18 ppl= 189.387 ppl1= 421.447
file lyrics-kanye-west/song_53.txt: 18 sentences, 53 words, 0 OOVs
0 zeroprobs, logprob= -136.27 ppl= 83.0422 ppl1= 372.508
file lyrics-kanye-west/song_54.txt: 69 sentences, 553 words, 0 OOVs
0 zeroprobs, logprob= -1368.8 ppl= 158.727 ppl1= 298.699
file lyrics-kanye-west/song_55.txt: 75 sentences, 594 words, 0 OOVs
0 zeroprobs, logprob= -1353.47 ppl= 105.468 ppl1= 189.918
file lyrics-kanye-west/song_56.txt: 74 sentences, 503 words, 0 OOVs
0 zeroprobs, logprob= -1170.96 ppl= 107.002 ppl1= 212.789
file lyrics-kanye-west/song_57.txt: 20 sentences, 215 words, 0 OOVs
0 zeroprobs, logprob= -547.26 ppl= 213.19 ppl1= 351.073
file lyrics-kanye-west/song_58.txt: 85 sentences, 802 words, 0 OOVs
0 zeroprobs, logprob= -1731.21 ppl= 89.4874 ppl1= 144.085
file lyrics-kanye-west/song_59.txt: 86 sentences, 682 words, 0 OOVs
0 zeroprobs, logprob= -1467.43 ppl= 81.4176 ppl1= 141.794
file lyrics-kanye-west/song_60.txt: 48 sentences, 184 words, 0 OOVs
0 zeroprobs, logprob= -503.239 ppl= 147.616 ppl1= 543.243
file lyrics-kanye-west/song_61.txt: 80 sentences, 552 words, 0 OOVs
0 zeroprobs, logprob= -1201.86 ppl= 79.7397 ppl1= 150.411
file lyrics-kanye-west/song_62.txt: 57 sentences, 540 words, 0 OOVs
0 zeroprobs, logprob= -1185.23 ppl= 96.6731 ppl1= 156.627
file lyrics-kanye-west/song_63.txt: 18 sentences, 153 words, 0 OOVs
0 zeroprobs, logprob= -349.35 ppl= 110.403 ppl1= 192.014
file lyrics-kanye-west/song_64.txt: 76 sentences, 489 words, 0 OOVs
0 zeroprobs, logprob= -1234.1 ppl= 152.841 ppl1= 333.975
file lyrics-kanye-west/song_65.txt: 109 sentences, 800 words, 0 OOVs
0 zeroprobs, logprob= -1917.89 ppl= 128.793 ppl1= 249.668
file lyrics-kanye-west/song_66.txt: 70 sentences, 531 words, 0 OOVs
0 zeroprobs, logprob= -1197.07 ppl= 98.1304 ppl1= 179.629
file lyrics-kanye-west/song_67.txt: 81 sentences, 691 words, 0 OOVs
0 zeroprobs, logprob= -1486.54 ppl= 84.2495 ppl1= 141.672
file lyrics-kanye-west/song_68.txt: 25 sentences, 269 words, 0 OOVs
0 zeroprobs, logprob= -637.25 ppl= 147.068 ppl1= 233.862
file lyrics-kanye-west/song_69.txt: 21 sentences, 184 words, 0 OOVs
0 zeroprobs, logprob= -391.282 ppl= 81.039 ppl1= 133.824
file lyrics-kanye-west/song_70.txt: 63 sentences, 430 words, 0 OOVs
0 zeroprobs, logprob= -1074.33 ppl= 151.066 ppl1= 315.093
file lyrics-kanye-west/song_71.txt: 147 sentences, 901 words, 0 OOVs
0 zeroprobs, logprob= -1921.14 ppl= 68.0997 ppl1= 135.59
file lyrics-kanye-west/song_72.txt: 125 sentences, 990 words, 0 OOVs
0 zeroprobs, logprob= -2373.84 ppl= 134.588 ppl1= 249.931
file lyrics-kanye-west/song_73.txt: 106 sentences, 735 words, 0 OOVs
0 zeroprobs, logprob= -1820.5 ppl= 146.11 ppl1= 299.824
file lyrics-kanye-west/song_74.txt: 58 sentences, 574 words, 0 OOVs
0 zeroprobs, logprob= -1348.86 ppl= 136.228 ppl1= 223.832
file lyrics-kanye-west/song_75.txt: 61 sentences, 503 words, 0 OOVs
0 zeroprobs, logprob= -1270.33 ppl= 178.795 ppl1= 335.354
file lyrics-kanye-west/song_76.txt: 56 sentences, 436 words, 0 OOVs
0 zeroprobs, logprob= -910.707 ppl= 70.9628 ppl1= 122.681
file lyrics-kanye-west/song_77.txt: 73 sentences, 625 words, 0 OOVs
0 zeroprobs, logprob= -1479.44 ppl= 131.687 ppl1= 232.865
file lyrics-kanye-west/song_78.txt: 25 sentences, 166 words, 0 OOVs
0 zeroprobs, logprob= -413.095 ppl= 145.479 ppl1= 307.98
file lyrics-kanye-west/song_79.txt: 65 sentences, 484 words, 0 OOVs
0 zeroprobs, logprob= -1225.3 ppl= 170.563 ppl1= 340.112
file lyrics-kanye-west/song_80.txt: 38 sentences, 354 words, 0 OOVs
0 zeroprobs, logprob= -822.695 ppl= 125.52 ppl1= 210.862
file lyrics-kanye-west/song_81.txt: 78 sentences, 697 words, 0 OOVs
