file lyrics-kanye-west/song_41.txt: 67 sentences, 533 words, 0 OOVs
0 zeroprobs, logprob= -1241.88 ppl= 117.435 ppl1= 213.786
file lyrics-kanye-west/song_42.txt: 49 sentences, 424 words, 0 OOVs
0 zeroprobs, logprob= -778.474 ppl= 44.2408 ppl1= 68.5527
file lyrics-kanye-west/song_43.txt: 93 sentences, 728 words, 0 OOVs
0 zeroprobs, logprob= -1626.07 ppl= 95.6313 ppl1= 171.244
file lyrics-kanye-west/song_44.txt: 66 sentences, 522 words, 0 OOVs
0 zeroprobs, logprob= -1089.53 ppl= 71.2763 ppl1= 122.243
file lyrics-kanye-west/song_45.txt: 57 sentences, 372 words, 0 OOVs
0 zeroprobs, logprob= -782.461 ppl= 66.668 ppl1= 126.879
file lyrics-kanye-west/song_46.txt: 93 sentences, 547 words, 0 OOVs
0 zeroprobs, logprob= -1244.61 ppl= 88.0436 ppl1= 188.509
file lyrics-kanye-west/song_47.txt: 81 sentences, 658 words, 0 OOVs
0 zeroprobs, logprob= -1210.42 ppl= 43.4427 ppl1= 69.1106
file lyrics-kanye-west/song_48.txt: 102 sentences, 816 words, 0 OOVs
0 zeroprobs, logprob= -1859.72 ppl= 106.129 ppl1= 190.136
file lyrics-kanye-west/song_49.txt: 49 sentences, 277 words, 0 OOVs
0 zeroprobs, logprob= -655.963 ppl= 102.839 ppl1= 233.398
file lyrics-kanye-west/song_50.txt: 69 sentences, 537 words, 0 OOVs
0 zeroprobs, logprob= -1102.63 ppl= 65.9964 ppl1= 113.061
file lyrics-kanye-west/song_51.txt: 55 sentences, 409 words, 0 OOVs
0 zeroprobs, logprob= -915.918 ppl= 94.1806 ppl1= 173.544
file lyrics-kanye-west/song_52.txt: 117 sentences, 767 words, 0 OOVs
0 zeroprobs, logprob= -1884.67 ppl= 135.512 ppl1= 286.547
file lyrics-kanye-west/song_53.txt: 18 sentences, 53 words, 0 OOVs
0 zeroprobs, logprob= -129.305 ppl= 66.2509 ppl1= 275.239
file lyrics-kanye-west/song_54.txt: 69 sentences, 553 words, 0 OOVs
0 zeroprobs, logprob= -1267.44 ppl= 109.064 ppl1= 195.854
file lyrics-kanye-west/song_55.txt: 75 sentences, 594 words, 0 OOVs
0 zeroprobs, logprob= -1238.31 ppl= 70.9552 ppl1= 121.533
file lyrics-kanye-west/song_56.txt: 74 sentences, 503 words, 0 OOVs
0 zeroprobs, logprob= -1087.55 ppl= 76.706 ppl1= 145.251
file lyrics-kanye-west/song_57.txt: 20 sentences, 215 words, 0 OOVs
0 zeroprobs, logprob= -483.965 ppl= 114.664 ppl1= 178.239
file lyrics-kanye-west/song_58.txt: 85 sentences, 802 words, 0 OOVs
0 zeroprobs, logprob= -1601.72 ppl= 63.9407 ppl1= 99.3489
file lyrics-kanye-west/song_59.txt: 86 sentences, 682 words, 0 OOVs
0 zeroprobs, logprob= -1290.79 ppl= 47.9422 ppl1= 78.1008
file lyrics-kanye-west/song_60.txt: 48 sentences, 184 words, 0 OOVs
0 zeroprobs, logprob= -458.863 ppl= 95.0297 ppl1= 311.762
file lyrics-kanye-west/song_61.txt: 80 sentences, 552 words, 0 OOVs
0 zeroprobs, logprob= -1097.47 ppl= 54.5134 ppl1= 97.3129
file lyrics-kanye-west/song_62.txt: 57 sentences, 540 words, 0 OOVs
0 zeroprobs, logprob= -1133.11 ppl= 79.0679 ppl1= 125.414
file lyrics-kanye-west/song_63.txt: 18 sentences, 153 words, 0 OOVs
0 zeroprobs, logprob= -316.683 ppl= 71.1126 ppl1= 117.442
file lyrics-kanye-west/song_64.txt: 76 sentences, 489 words, 0 OOVs
0 zeroprobs, logprob= -1155.31 ppl= 110.866 ppl1= 230.462
file lyrics-kanye-west/song_65.txt: 109 sentences, 800 words, 0 OOVs
0 zeroprobs, logprob= -1812.08 ppl= 98.5108 ppl1= 184.118
file lyrics-kanye-west/song_66.txt: 70 sentences, 531 words, 0 OOVs
0 zeroprobs, logprob= -1118.36 ppl= 72.5825 ppl1= 127.685
file lyrics-kanye-west/song_67.txt: 81 sentences, 691 words, 0 OOVs
0 zeroprobs, logprob= -1314.23 ppl= 50.3929 ppl1= 79.7854
file lyrics-kanye-west/song_68.txt: 25 sentences, 269 words, 0 OOVs
0 zeroprobs, logprob= -604.356 ppl= 113.666 ppl1= 176.472
file lyrics-kanye-west/song_69.txt: 21 sentences, 184 words, 0 OOVs
0 zeroprobs, logprob= -356.327 ppl= 54.7245 ppl1= 86.4095
file lyrics-kanye-west/song_70.txt: 63 sentences, 430 words, 0 OOVs
0 zeroprobs, logprob= -998.577 ppl= 106.05 ppl1= 210.026
file lyrics-kanye-west/song_71.txt: 147 sentences, 901 words, 0 OOVs
0 zeroprobs, logprob= -1707.72 ppl= 42.6094 ppl1= 78.5891
file lyrics-kanye-west/song_72.txt: 125 sentences, 990 words, 0 OOVs
0 zeroprobs, logprob= -2211.23 ppl= 96.1986 ppl1= 171.226
file lyrics-kanye-west/song_73.txt: 106 sentences, 735 words, 0 OOVs
0 zeroprobs, logprob= -1692.67 ppl= 102.965 ppl1= 200.889
file lyrics-kanye-west/song_74.txt: 58 sentences, 574 words, 0 OOVs
0 zeroprobs, logprob= -1270.69 ppl= 102.466 ppl1= 163.583
file lyrics-kanye-west/song_75.txt: 61 sentences, 503 words, 0 OOVs
0 zeroprobs, logprob= -1125.84 ppl= 99.1238 ppl1= 173.085
file lyrics-kanye-west/song_76.txt: 56 sentences, 436 words, 0 OOVs
0 zeroprobs, logprob= -821.481 ppl= 46.7387 ppl1= 76.5827
file lyrics-kanye-west/song_77.txt: 73 sentences, 625 words, 0 OOVs
0 zeroprobs, logprob= -1406.97 ppl= 103.684 ppl1= 178.299
file lyrics-kanye-west/song_78.txt: 25 sentences, 166 words, 0 OOVs
0 zeroprobs, logprob= -367.635 ppl= 84.0992 ppl1= 163.934
file lyrics-kanye-west/song_79.txt: 65 sentences, 484 words, 0 OOVs
0 zeroprobs, logprob= -1143.84 ppl= 121.197 ppl1= 230.835
file lyrics-kanye-west/song_80.txt: 38 sentences, 354 words, 0 OOVs
0 zeroprobs, logprob= -777.991 ppl= 96.5321 ppl1= 157.658
file lyrics-kanye-west/song_81.txt: 78 sentences, 697 words, 0 OOVs
0 zeroprobs, logprob= -1423.18 ppl= 68.6065 ppl1= 110.121
file lyrics-kanye-west/song_82.txt: 19 sentences, 142 words, 0 OOVs
0 zeroprobs, logprob= -308.435 ppl= 82.3655 ppl1= 148.62
file lyrics-kanye-west/song_83.txt: 78 sentences, 704 words, 0 OOVs
0 zeroprobs, logprob= -1591.42 ppl= 108.41 ppl1= 182.199
file lyrics-kanye-west/song_84.txt: 9 sentences, 77 words, 0 OOVs
0 zeroprobs, logprob= -171.089 ppl= 97.5894 ppl1= 166.698
file lyrics-kanye-west/song_85.txt: 69 sentences, 537 words, 0 OOVs
0 zeroprobs, logprob= -1102.63 ppl= 65.9964 ppl1= 113.061
file lyrics-kanye-west/song_86.txt: 56 sentences, 436 words, 0 OOVs
0 zeroprobs, logprob= -821.481 ppl= 46.7387 ppl1= 76.5827
file lyrics-kanye-west/song_87.txt: 61 sentences, 528 words, 0 OOVs
0 zeroprobs, logprob= -1059.66 ppl= 62.9633 ppl1= 101.61
file lyrics-kanye-west/song_88.txt: 76 sentences, 538 words, 0 OOVs
0 zeroprobs, logprob= -1288.77 ppl= 125.593 ppl1= 248.585
file lyrics-kanye-west/song_89.txt: 85 sentences, 701 words, 0 OOVs
0 zeroprobs, logprob= -1376.11 ppl= 56.3346 ppl1= 91.8473
file lyrics-kanye-west/song_90.txt: 61 sentences, 538 words, 0 OOVs
0 zeroprobs, logprob= -1127.07 ppl= 76.1366 ppl1= 124.433
file lyrics-kanye-west/song_91.txt: 88 sentences, 657 words, 0 OOVs
0 zeroprobs, logprob= -1601.01 ppl= 140.931 ppl1= 273.431
file lyrics-kanye-west/song_92.txt: 45 sentences, 368 words, 0 OOVs
0 zeroprobs, logprob= -807.469 ppl= 90.1842 ppl1= 156.39
file lyrics-kanye-west/song_93.txt: 87 sentences, 663 words, 0 OOVs
0 zeroprobs, logprob= -1234.98 ppl= 44.3246 ppl1= 72.8988
file lyrics-kanye-west/song_94.txt: 42 sentences, 412 words, 0 OOVs
0 zeroprobs, logprob= -812.365 ppl= 61.5674 ppl1= 93.7045
file lyrics-kanye-west/song_95.txt: 66 sentences, 393 words, 0 OOVs
0 zeroprobs, logprob= -864.314 ppl= 76.3899 ppl1= 158.224
file lyrics-kanye-west/song_96.txt: 75 sentences, 492 words, 0 OOVs
0 zeroprobs, logprob= -1092.66 ppl= 84.5459 ppl1= 166.286
file lyrics-kanye-west/song_97.txt: 66 sentences, 469 words, 0 OOVs
0 zeroprobs, logprob= -1079.27 ppl= 104.07 ppl1= 200.085
file lyrics-kanye-west/song_98.txt: 63 sentences, 661 words, 0 OOVs
0 zeroprobs, logprob= -1515.5 ppl= 123.947 ppl1= 196.22
file lyrics-kanye-west/song_99.txt: 21 sentences, 184 words, 0 OOVs
0 zeroprobs, logprob= -356.327 ppl= 54.7245 ppl1= 86.4095
file lyrics-kanye-west/song_100.txt: 48 sentences, 435 words, 0 OOVs
0 zeroprobs, logprob= -893.122 ppl= 70.6504 ppl1= 113.02
file lyrics-kanye-west/song_101.txt: 147 sentences, 901 words, 0 OOVs
0 zeroprobs, logprob= -1707.72 ppl= 42.6094 ppl1= 78.5891
file lyrics-kanye-west/song_102.txt: 69 sentences, 546 words, 0 OOVs
0 zeroprobs, logprob= -1256.55 ppl= 110.45 ppl1= 200.156
file lyrics-kanye-west/song_103.txt: 95 sentences, 843 words, 0 OOVs
0 zeroprobs, logprob= -1711.01 ppl= 66.6966 ppl1= 107.07
file lyrics-kanye-west/song_104.txt: 84 sentences, 701 words, 0 OOVs
0 zeroprobs, logprob= -1376.81 ppl= 56.7409 ppl1= 92.0584
file lyrics-kanye-west/song_105.txt: 19 sentences, 91 words, 0 OOVs
0 zeroprobs, logprob= -188.12 ppl= 51.3076 ppl1= 116.749
file lyrics-kanye-west/song_106.txt: 99 sentences, 1052 words, 0 OOVs
0 zeroprobs, logprob= -1948.23 ppl= 49.2762 ppl1= 71.1091
file lyrics-kanye-west/song_107.txt: 90 sentences, 797 words, 0 OOVs
0 zeroprobs, logprob= -1741.44 ppl= 91.8948 ppl1= 153.106
file lyrics-kanye-west/song_108.txt: 41 sentences, 402 words, 0 OOVs
0 zeroprobs, logprob= -895.316 ppl= 104.961 ppl1= 168.715
file lyrics-kanye-west/song_109.txt: 49 sentences, 424 words, 0 OOVs
0 zeroprobs, logprob= -778.474 ppl= 44.2408 ppl1= 68.5527
file lyrics-kanye-west/song_110.txt: 46 sentences, 458 words, 0 OOVs
0 zeroprobs, logprob= -1027.12 ppl= 109.127 ppl1= 174.83
file lyrics-kanye-west/song_111.txt: 31 sentences, 238 words, 0 OOVs
0 zeroprobs, logprob= -558.002 ppl= 118.674 ppl1= 221.079
file lyrics-kanye-west/song_112.txt: 47 sentences, 433 words, 0 OOVs
0 zeroprobs, logprob= -885.764 ppl= 70.0391 ppl1= 111.082
file lyrics-kanye-west/song_113.txt: 117 sentences, 718 words, 0 OOVs
0 zeroprobs, logprob= -1560.88 ppl= 74.0147 ppl1= 149.255
file lyrics-kanye-west/song_114.txt: 15 sentences, 486 words, 0 OOVs
0 zeroprobs, logprob= -1024.93 ppl= 111.115 ppl1= 128.503
file lyrics-kanye-west/song_115.txt: 69 sentences, 474 words, 0 OOVs
0 zeroprobs, logprob= -1050.91 ppl= 86.1755 ppl1= 164.861
file lyrics-kanye-west/song_116.txt: 80 sentences, 637 words, 0 OOVs
0 zeroprobs, logprob= -1358.11 ppl= 78.3704 ppl1= 135.53
