sentences,words,OOV,logprob,ppl,ppl1
16,140,0,-331.302,132.963,232.512
79,535,0,-1128.57,68.8756,128.671
1,656,0,-1232.85,75.2452,75.7424
63,512,0,-757.943,20.8047,30.2244
31,185,0,-317.246,29.426,51.8612
79,548,0,-904.052,27.661,44.6405
115,1017,0,-2208.52,89.3285,148.458
64,430,0,-729.955,30.036,49.8391
112,880,0,-2189.58,161.154,307.726
55,425,0,-906.182,77.2465,135.579
168,1046,0,-2231.58,68.8977,135.97
59,346,0,-577.959,26.7337,46.8167
45,312,0,-727.19,108.879,214.159
49,292,0,-619.458,65.5528,132.26
66,591,0,-1030.22,36.989,55.3588
62,490,0,-1103.04,99.6003,178.28
47,337,0,-667.631,54.78,95.7415
49,366,0,-567.877,23.355,35.6104
80,552,0,-781.328,17.2297,26.0285
121,698,0,-1476.19,63.4497,130.282
90,735,0,-1600.78,87.1652,150.639
92,993,0,-2012.59,71.6012,106.359
80,641,0,-986.158,23.3219,34.5515
1,564,0,-1286.63,189.329,191.097
66,496,0,-1130.97,102.898,190.629
81,658,0,-773.381,11.1307,14.9745
65,408,0,-695.12,29.4847,50.5504
19,110,0,-243.077,76.6151,162.101
70,556,0,-1280.27,110.958,200.745
87,715,0,-1094.68,23.1709,33.9647
95,843,0,-1166.03,17.5025,24.1651
100,800,0,-1460.82,41.9889,66.9924
118,993,0,-2273.15,111.184,194.616
57,442,0,-1013.83,107.576,196.664
80,641,0,-986.158,23.3219,34.5515
80,606,0,-1141.18,46.0819,76.4078
1,228,0,-520.462,187.397,191.748
126,1023,0,-2479.34,143.82,265.212
50,406,0,-811.839,60.3045,99.909
59,502,0,-762.678,22.8821,33.0581
128,1058,0,-1917.8,41.4034,64.9636
67,533,0,-957.091,39.3688,62.4696
49,424,0,-540.936,13.9197,18.8709
93,728,0,-1414.09,52.772,87.5862
66,522,0,-911.503,35.4956,55.7408
57,372,0,-696.475,42.0227,74.5149
93,547,0,-1022.6,39.6102,74.0396
81,658,0,-773.381,11.1307,14.9745
102,816,0,-1365.12,30.6944,47.0914
49,277,0,-664.002,108.847,249.528
69,537,0,-799.34,20.847,30.7985
55,409,0,-835.155,63.0817,110.14
117,767,0,-1961.86,165.693,361.278
18,53,0,-129.423,66.5067,276.663
69,553,0,-1270.71,110.395,198.543
75,594,0,-1119.33,47.1127,76.629
74,503,0,-892.08,35.1614,59.3634
20,215,0,-426.827,65.5069,96.6594
85,802,0,-1338.89,32.3187,46.7125
86,682,0,-840.941,12.4444,17.1022
48,184,0,-434.95,74.9521,231.131
80,552,0,-781.328,17.2297,26.0285
57,540,0,-974.28,42.8508,63.712
18,153,0,-240.57,25.5178,37.3554
76,489,0,-1197.25,131.533,280.785
109,800,0,-1724.42,78.8951,143.062
70,531,0,-988.504,44.1332,72.7092
81,691,0,-907.477,14.9792,20.5722
25,269,0,-612.088,120.762,188.547
21,184,0,-255.342,17.6023,24.4189
63,430,0,-1031.15,123.479,250.054
147,901,0,-1213.87,14.397,22.2458
125,990,0,-1804.77,41.5551,66.5267
