sentences,words,OOV,logprob,ppl,ppl1
43,326,0,-803.205,150.213,290.95
35,286,3,-633.798,98.418,173.607
40,324,1,-726.832,100.529,177.932
1,270,0,-654.706,260.55,265.974
33,289,15,-749.706,276.719,544.694
49,423,3,-1011.69,143.586,256.316
48,291,0,-627.387,70.9086,143.209
54,285,17,-678.079,127.596,338.958
42,324,0,-721.622,93.6795,168.744
31,231,0,-502.025,82.4375,149.028
53,360,4,-809.269,95.2032,187.597
47,382,2,-882.559,116.65,210.148
21,147,2,-382.08,200.302,431.552
68,440,4,-1094.84,148.699,324.42
27,148,2,-353.012,109.782,261.751
46,415,4,-989.886,146.572,256.142
17,164,7,-474.592,534,1054.1
36,281,0,-686.135,146.037,276.541
33,194,0,-439.717,86.513,184.75
46,415,4,-989.886,146.572,256.142
44,288,1,-678.337,112.036,230.964
57,389,2,-764.625,52.7385,94.5747
30,110,2,-252.384,67.4322,217.213
55,296,5,-751.445,148.528,382.196
45,240,0,-608.959,136.993,344.61
26,254,0,-517.411,70.4524,108.906
33,303,2,-686.589,113.673,190.997
25,227,5,-546.952,163.825,290.902
36,254,0,-581.218,100.971,194.204
49,341,9,-735.391,85.1452,164.072
148,1112,54,-3262.07,506.834,1211.27
31,232,0,-449.005,50.9616,86.1719
66,622,33,-1522.64,211.172,384.699
33,221,0,-517.941,109.431,220.61
43,388,3,-769.173,62.6805,99.5063
44,296,8,-756.552,190.007,423.56
63,366,28,-799.251,98.4341,231.552
70,411,22,-972.004,131.116,315.3
38,330,12,-785.513,160.878,295.234
9,42,0,-79.856,36.7963,79.677
50,335,4,-850.351,170.566,370.711
25,172,4,-368.182,80.8499,155.439
52,374,10,-936.894,178.71,374.872
41,207,9,-528.891,163.28,468.995
31,302,14,-697.145,153.252,263.415
31,238,3,-470.029,58.4824,100.028
52,377,7,-951.164,179.45,372.146
36,217,2,-630.82,326.006,859.103
54,348,1,-736.436,68.6275,132.524
47,333,7,-725.469,88.0963,168.022
44,176,2,-508.035,214.011,831.27
58,367,9,-834.547,101.42,214.357
43,297,1,-594.324,56.646,101.825
92,496,8,-1234.54,134.435,338.68
76,303,9,-856.373,206.31,818.15
45,347,1,-682.761,55.743,94.0365
18,205,7,-490.486,186.538,300.055
48,371,20,-873.719,154.801,308.481
48,327,11,-705.64,86.8105,171.017
41,303,6,-777.263,199.34,414.045
58,282,44,-641.924,147.456,497.919
43,306,0,-603.909,53.7523,94.093
16,125,3,-273.295,95.5866,173.829
27,202,4,-490.701,151.667,300.806
14,96,0,-214.14,88.4556,170.068
33,229,1,-496.597,79.9225,150.68
39,268,8,-573.789,82.9904,161.021
48,301,8,-641.876,76.2666,155.133
53,358,8,-743.752,70.0711,133.354
43,297,16,-790.71,275.716,651.498
24,123,3,-260.72,64.6477,148.821
27,182,1,-458.788,160.588,342.564
30,351,3,-818.118,145.993,224.343
29,156,4,-331.832,68.1283,152.443
45,315,11,-813.56,214.348,474.445
28,178,10,-498.178,348.117,923.306
48,248,1,-620.913,127.288,326.449
49,352,3,-812.47,109.997,212.811
46,415,4,-989.886,146.572,256.142
9,44,0,-84.454,39.2168,83.0635
48,327,11,-705.64,86.8105,171.017
20,99,7,-256.879,196.59,619.673
64,399,3,-909.686,94.9684,198.238
23,117,1,-220.765,38.7472,80.0111
56,388,6,-987.322,179.539,384.249
60,386,1,-860.692,85.9289,172.014
49,373,2,-881.718,125.698,238.011
32,266,10,-669.784,211.661,413.376
45,399,2,-873.663,94.7574,158.731
45,258,5,-668.598,175.233,439.217
16,60,7,-158.403,197.559,974.397
39,312,15,-779.348,208.683,420.792
49,374,2,-865.622,113.791,212.296
17,115,3,-238.586,70.7144,134.97
45,376,3,-900.628,142.762,259.748
44,296,8,-756.552,190.007,423.56
45,262,9,-658.102,161.584,399.204
30,241,2,-571.203,132.872,245.455
12,254,16,-573.122,196.105,255.903
49,374,2,-865.622,113.791,212.296
33,169,2,-438.42,155.633,421.959
69,397,16,-881.939,91.1727,206.443
66,358,16,-851.67,122.3,309.216
61,319,3,-691.569,68.2969,154.351
55,296,5,-751.445,148.528,382.196
37,296,6,-719.003,158.046,301.522
52,443,1,-918.35,72.2782,119.595
42,371,3,-801.016,89.8871,150.201
64,439,8,-1161.76,222.322,496.009
59,329,8,-922.6,267.852,748.417
51,433,0,-698.247,27.7114,40.9807
41,206,1,-497.114,104.903,266.039
47,389,7,-812.814,78.4641,134.21
67,392,6,-881.456,88.2711,192.116
42,300,0,-572.208,47.1111,80.7905
50,314,11,-866.421,284.74,723.559
36,169,0,-375.562,67.922,166.825
1,50,1,-132.109,438.711,496.707
55,296,5,-751.445,148.528,382.196
61,365,7,-798.802,80.6212,170.33
52,330,6,-792.599,128.226,279.442
44,288,1,-678.337,112.036,230.964
38,179,5,-531.942,322.968,1140.61
36,209,2,-517.154,134.34,315.014
45,399,2,-873.663,94.7574,158.731
46,345,7,-906.151,228.964,479.645
32,187,1,-446.676,111.937,252.049
42,214,11,-420.011,51.8003,117.225
35,171,6,-385.779,84.8972,217.797
47,314,7,-794.516,175.548,387.258
34,213,6,-538.865,172.17,401.065
39,338,5,-773.713,120.192,210.602
35,244,0,-589.359,129.539,260.26
24,227,1,-441.456,58.3209,89.8142
40,274,3,-656.912,129.496,265.478
4,207,0,-350.223,45.6901,49.1922
65,460,7,-1055.76,109.18,214.088
14,104,3,-247.553,142.114,282.503
35,306,1,-639.788,76.1604,125.218
27,193,0,-471.083,138.448,275.959
