sentences,words,OOV,logprob,ppl,ppl1
31,335,0,-723.384,94.7235,144.329
25,187,0,-386.393,66.4673,116.486
34,281,0,-591.691,75.576,127.544
18,183,0,-407.094,106.009,167.709
33,287,0,-583.365,66.5295,107.803
34,284,0,-581.635,67.4591,111.689
28,220,0,-486.555,91.6039,162.784
59,418,0,-864.888,65.0403,117.249
71,241,0,-542.019,54.606,177.436
47,308,0,-636.163,61.9455,116.269
86,330,0,-767.117,69.8282,211.153
26,195,0,-421.119,80.448,144.406
24,216,0,-487.616,107.58,180.917
58,284,0,-615.627,63.1072,147.13
79,328,0,-720.939,59.0675,157.755
39,408,0,-820.155,68.3595,102.373
51,367,0,-792.078,78.5099,143.963
59,204,0,-450.765,51.7531,162.044
31,240,0,-512.875,78.0776,137.081
21,165,0,-365.767,92.5735,164.728
