sentences,words,OOV,logprob,ppl,ppl1
70,533,0,-1116.52,71.0574,124.39
47,260,57,-806.716,1686.03,9418.3
59,334,69,-885.23,539.75,2190.24
24,160,1,-400.272,153.915,329.182
38,188,35,-592.567,1266.04,7464.29
34,248,1,-594.612,130.634,255.467
70,533,0,-1116.52,71.0574,124.39
7,69,5,-159.645,177.225,312.218
50,368,2,-768.749,70.4619,126.011
84,511,2,-1160.66,90.6278,190.663
44,295,2,-673.378,99.5757,198.709
64,408,4,-964.83,115.24,244.451
82,423,34,-1121.93,241.003,765.851
38,258,1,-555.979,76.6786,145.661
17,154,13,-430.241,528.496,1125.52
46,286,54,-885.011,1525.79,6526.85
58,379,2,-852.721,91.2593,182.75
36,281,0,-704.585,166.98,321.676
15,267,7,-671.045,275.526,381.015
70,533,0,-1116.52,71.0574,124.39
39,234,2,-631.774,214.422,528.644
50,241,40,-778.309,1261.34,7450.45
76,415,21,-907.136,85.1288,200.62
58,379,2,-852.721,91.2593,182.75
91,579,43,-1238.58,94.496,204.546
78,342,4,-832.505,100.28,290.425
47,341,2,-747.042,86.1672,159.832
23,127,3,-321.735,154.41,393.222
58,306,95,-852.999,1482.52,11031.9
59,334,69,-885.23,539.75,2190.24
70,533,0,-1116.52,71.0574,124.39
70,339,21,-795.232,112.09,316.76
57,426,2,-686.376,26.7287,41.573
78,542,30,-1274.17,144.415,308.046
75,440,12,-978.73,88.2642,193.531
33,222,5,-533.857,136.593,288.517
143,781,43,-2231.56,341.185,1056.33
60,542,52,-1435.95,408.155,852.154
64,408,4,-964.83,115.24,244.451
53,425,1,-957.118,101.516,180.864
64,398,15,-1093.07,278.836,714.449
62,565,4,-1268.19,108.546,182.215
69,452,19,-887.318,58.5553,112.004
72,353,2,-812.852,83.4904,206.927
62,386,1,-816.532,67.0955,132.088
58,379,2,-852.721,91.2593,182.75
50,433,0,-1068.92,163.339,294.2
67,516,16,-1249.31,159.723,315.224
75,437,111,-1129.62,656.146,2917.99
43,224,3,-522.234,95.0956,230.702
260,746,21,-2257.43,195.799,1299.27
130,1018,62,-2591.18,243.21,513.376
59,452,0,-471.886,8.38409,11.0661
109,844,53,-2607.45,789.16,1978.77
65,402,1,-1062.89,190.934,447.305
33,312,4,-906.959,456.777,880.386
58,548,36,-1336.71,221.361,408.09
52,508,2,-1044.84,74.5551,116.12
101,874,384,-1647.38,612.979,2301.45
67,489,7,-1003.63,67.3135,120.842
69,421,0,-578.183,15.1344,23.6241
63,376,50,-685.465,57.8256,126.664
62,455,36,-1116.31,209.32,461.557
62,543,12,-1290.71,150.167,269.597
18,92,2,-216.291,100.622,253.065
50,433,0,-1068.92,163.339,294.2
50,306,0,-544.927,33.9385,60.3679
26,125,8,-341.539,244.558,830.106
68,443,10,-1031.81,114.682,241.505
45,293,3,-659.69,93.1587,188.275
36,224,16,-502.228,114.37,259.751
25,213,0,-552.246,209.104,391.475
84,516,10,-1256.14,134.603,303.735
68,468,17,-871.401,47.7529,85.5368
50,306,0,-544.927,33.9385,60.3679
70,533,0,-1116.52,71.0574,124.39
108,550,12,-1340.77,118.984,310.55
64,674,13,-1438.95,96.5515,150.29
61,478,17,-1176.46,179.372,356.431
59,155,2,-378.586,61.0635,298.138
47,346,0,-612.033,36.0858,58.7329
