file rapsongs/song_44.txt: 47 sentences, 494 words, 0 OOVs
0 zeroprobs, logprob= -1153.6 ppl= 135.627 ppl1= 216.382
file rapsongs/song_45.txt: 54 sentences, 490 words, 0 OOVs
0 zeroprobs, logprob= -1111.22 ppl= 110.325 ppl1= 185.262
file rapsongs/song_46.txt: 55 sentences, 487 words, 0 OOVs
0 zeroprobs, logprob= -1157.21 ppl= 136.483 ppl1= 237.798
file rapsongs/song_47.txt: 73 sentences, 676 words, 0 OOVs
0 zeroprobs, logprob= -1360.92 ppl= 65.6126 ppl1= 103.086
file rapsongs/song_48.txt: 63 sentences, 382 words, 0 OOVs
0 zeroprobs, logprob= -921.065 ppl= 117.438 ppl1= 257.73
file rapsongs/song_49.txt: 58 sentences, 555 words, 0 OOVs
0 zeroprobs, logprob= -1354.97 ppl= 162.326 ppl1= 276.303
file rapsongs/song_50.txt: 81 sentences, 687 words, 0 OOVs
0 zeroprobs, logprob= -1686.81 ppl= 157.167 ppl1= 285.314
file rapsongs/song_51.txt: 50 sentences, 383 words, 0 OOVs
0 zeroprobs, logprob= -898.087 ppl= 118.605 ppl1= 221.246
file rapsongs/song_52.txt: 72 sentences, 692 words, 0 OOVs
0 zeroprobs, logprob= -1614.92 ppl= 129.948 ppl1= 215.626
file rapsongs/song_53.txt: 47 sentences, 473 words, 0 OOVs
0 zeroprobs, logprob= -1044.35 ppl= 101.944 ppl1= 161.408
file rapsongs/song_54.txt: 73 sentences, 596 words, 0 OOVs
0 zeroprobs, logprob= -1327.94 ppl= 96.5973 ppl1= 169.079
file rapsongs/song_55.txt: 86 sentences, 590 words, 0 OOVs
0 zeroprobs, logprob= -1439.9 ppl= 134.903 ppl1= 275.74
file rapsongs/song_56.txt: 57 sentences, 427 words, 0 OOVs
0 zeroprobs, logprob= -1028.71 ppl= 133.484 ppl1= 256.538
file rapsongs/song_57.txt: 32 sentences, 212 words, 0 OOVs
0 zeroprobs, logprob= -508.492 ppl= 121.335 ppl1= 250.35
file rapsongs/song_58.txt: 87 sentences, 1001 words, 0 OOVs
0 zeroprobs, logprob= -2121.24 ppl= 89.0569 ppl1= 131.559
file rapsongs/song_59.txt: 84 sentences, 698 words, 0 OOVs
0 zeroprobs, logprob= -1499.92 ppl= 82.8057 ppl1= 140.892
file rapsongs/song_60.txt: 49 sentences, 401 words, 0 OOVs
0 zeroprobs, logprob= -971.044 ppl= 143.839 ppl1= 263.971
file rapsongs/song_61.txt: 87 sentences, 710 words, 0 OOVs
0 zeroprobs, logprob= -1512.23 ppl= 78.9596 ppl1= 134.866
file rapsongs/song_62.txt: 54 sentences, 490 words, 0 OOVs
0 zeroprobs, logprob= -1111.22 ppl= 110.325 ppl1= 185.262
file rapsongs/song_63.txt: 54 sentences, 385 words, 0 OOVs
0 zeroprobs, logprob= -916.248 ppl= 122.215 ppl1= 239.808
file rapsongs/song_64.txt: 61 sentences, 483 words, 0 OOVs
0 zeroprobs, logprob= -1074.47 ppl= 94.4346 ppl1= 167.718
file rapsongs/song_65.txt: 75 sentences, 675 words, 0 OOVs
0 zeroprobs, logprob= -1460.56 ppl= 88.595 ppl1= 145.81
file rapsongs/song_66.txt: 59 sentences, 488 words, 0 OOVs
0 zeroprobs, logprob= -1125.64 ppl= 114.244 ppl1= 202.595
file rapsongs/song_67.txt: 81 sentences, 695 words, 0 OOVs
0 zeroprobs, logprob= -1426.05 ppl= 68.817 ppl1= 112.687
file rapsongs/song_68.txt: 60 sentences, 520 words, 0 OOVs
0 zeroprobs, logprob= -1188.8 ppl= 112.111 ppl1= 193.262
file rapsongs/song_69.txt: 81 sentences, 695 words, 0 OOVs
0 zeroprobs, logprob= -1426.05 ppl= 68.817 ppl1= 112.687
file rapsongs/song_70.txt: 17 sentences, 131 words, 0 OOVs
0 zeroprobs, logprob= -302.832 ppl= 111.214 ppl1= 204.972
file rapsongs/song_71.txt: 103 sentences, 917 words, 0 OOVs
0 zeroprobs, logprob= -2174.75 ppl= 135.554 ppl1= 235.287
file rapsongs/song_72.txt: 1 sentences, 783 words, 0 OOVs
0 zeroprobs, logprob= -1830.88 ppl= 216.426 ppl1= 217.918
file rapsongs/song_73.txt: 89 sentences, 825 words, 0 OOVs
0 zeroprobs, logprob= -1818.73 ppl= 97.6907 ppl1= 160.146
file rapsongs/song_74.txt: 55 sentences, 415 words, 0 OOVs
0 zeroprobs, logprob= -994.132 ppl= 130.369 ppl1= 248.599
file rapsongs/song_75.txt: 40 sentences, 345 words, 0 OOVs
0 zeroprobs, logprob= -829.871 ppl= 143.057 ppl1= 254.345
